Afghanistan,2006,29.4
Afghanistan,2005,29
Afghanistan,2004,28.8
Afghanistan,2003,28.8
Afghanistan,2002,28.6
Afghanistan,2001,28.4
Afghanistan,2000,28.2
Afghanistan,1999,28.2
Afghanistan,1998,28.2
Afghanistan,1997,28.1
Afghanistan,1996,28.1
Afghanistan,1995,28
Afghanistan,1994,28.1
Afghanistan,1993,28.1
Afghanistan,1992,28.2
Afghanistan,1991,28.2
Afghanistan,1990,28.2
Afghanistan,1989,28.2
Afghanistan,1988,28.2
Afghanistan,1987,28.2
Afghanistan,1986,28.3
Afghanistan,1985,28.3
Albania,2006,42
Albania,2005,42
Albania,2004,42
Albania,2003,42
Albania,2002,42
Albania,2001,41.9
Albania,2000,41.8
Albania,1999,41.7
Albania,1998,41.5
Albania,1997,41.3
Albania,1996,41.1
Albania,1995,40.9
Albania,1994,40.7
Albania,1993,40.5
Albania,1992,40.4
Albania,1991,40.3
Albania,1990,40.2
Albania,1989,40.1
Albania,1988,39.9
Albania,1987,39.7
Albania,1986,39.6
Albania,1985,39.4
Algeria,2006,31.1
Algeria,2005,30.6
Algeria,2004,30.1
Algeria,2003,29.5
Algeria,2002,29
Algeria,2001,28.5
Algeria,2000,28
Algeria,1999,27.3
Algeria,1998,26.7
Algeria,1997,26.1
Algeria,1996,25.4
Algeria,1995,24.9
Algeria,1994,24.5
Algeria,1993,24
Algeria,1992,23.5
Algeria,1991,23.1
Algeria,1990,22.6
Algeria,1989,22.2
Algeria,1988,21.7
Algeria,1987,21.3
Algeria,1986,20.9
Algeria,1985,20.5
Angola,2006,45.8
Angola,2005,45.8
Angola,2004,45.9
Angola,2003,46
Angola,2002,46
Angola,2001,45.9
Angola,2000,46
Angola,1999,46
Angola,1998,46
Angola,1997,45.9
Angola,1996,46
Angola,1995,46
Angola,1994,46.5
Angola,1993,46.1
Angola,1992,46.6
Angola,1991,46.3
Angola,1990,46.4
Angola,1989,46.3
Angola,1988,46.3
Angola,1987,46
Angola,1986,46
Angola,1985,46
Argentina,2006,43.3
Argentina,2005,42.9
Argentina,2004,42.4
Argentina,2003,42.1
Argentina,2002,41.7
Argentina,2001,40.8
Argentina,2000,40
Argentina,1999,39.4
Argentina,1998,38.7
Argentina,1997,38.2
Argentina,1996,37.9
Argentina,1995,37.5
Argentina,1994,36.6
Argentina,1993,36.1
Argentina,1992,35.5
Argentina,1991,35.2
Argentina,1990,34.4
Argentina,1989,33.7
Argentina,1988,33
Argentina,1987,32.3
Argentina,1986,31.6
Argentina,1985,30.8
Armenia,2006,49.2
Armenia,2005,49.1
Armenia,2004,49
Armenia,2003,49.1
Armenia,2002,48.7
Armenia,2001,48.2
Armenia,2000,47.8
Armenia,1999,47.3
Armenia,1998,47
Armenia,1997,46.5
Armenia,1996,46.7
Armenia,1995,46.8
Armenia,1994,46.9
Armenia,1993,47.1
Armenia,1992,47.3
Armenia,1991,47.5
Armenia,1990,47.7
Armenia,1989,47.5
Armenia,1988,47.3
Armenia,1987,47.2
Armenia,1986,47.1
Armenia,1985,47.1
Australia,2006,45.2
Australia,2005,45
Australia,2004,44.8
Australia,2003,44.5
Australia,2002,44.3
Australia,2001,44.2
Australia,2000,44
Australia,1999,43.3
Australia,1998,43.3
Australia,1997,42.9
Australia,1996,42.8
Australia,1995,42.7
Australia,1994,42.1
Australia,1993,41.7
Australia,1992,41.6
Australia,1991,41.5
Australia,1990,41.3
Australia,1989,40.8
Australia,1988,40.3
Australia,1987,39.7
Australia,1986,39.2
Australia,1985,38.3
Austria,2006,44.9
Austria,2005,44.6
Austria,2004,44.3
Austria,2003,44
Austria,2002,43.9
Austria,2001,43.4
Austria,2000,43.1
Austria,1999,43
Austria,1998,42.9
Austria,1997,42.9
Austria,1996,42.7
Austria,1995,42.7
Austria,1994,42.8
Austria,1993,41.6
Austria,1992,41.4
Austria,1991,40.9
Austria,1990,40.8
Austria,1989,40.4
Austria,1988,40.3
Austria,1987,39.9
Austria,1986,39.5
Austria,1985,39.4
Azerbaijan,2006,47.9
Azerbaijan,2005,47.7
Azerbaijan,2004,47.5
Azerbaijan,2003,47.5
Azerbaijan,2002,47.2
Azerbaijan,2001,47
Azerbaijan,2000,46.7
Azerbaijan,1999,46.3
Azerbaijan,1998,46.1
Azerbaijan,1997,45.8
Azerbaijan,1996,45.6
Azerbaijan,1995,45.4
Azerbaijan,1994,45.6
Azerbaijan,1993,46
Azerbaijan,1992,46.4
Azerbaijan,1991,46.7
Azerbaijan,1990,47.4
Azerbaijan,1989,47.4
Azerbaijan,1988,47.4
Azerbaijan,1987,47.2
Azerbaijan,1986,47.1
Azerbaijan,1985,47.1
Bahamas,2006,49.1
Bahamas,2005,49.4
Bahamas,2004,49.4
Bahamas,2003,48.7
Bahamas,2002,49
Bahamas,2001,48.3
Bahamas,2000,48.6
Bahamas,1999,49
Bahamas,1998,48.2
Bahamas,1997,48.2
Bahamas,1996,47.4
Bahamas,1995,47
Bahamas,1994,46.2
Bahamas,1993,45.7
Bahamas,1992,46
Bahamas,1991,45.5
Bahamas,1990,45
Bahamas,1989,44.4
Bahamas,1988,45.1
Bahamas,1987,44.5
Bahamas,1986,44.9
Bahamas,1985,44.2
Bahrain,2006,18.6
Bahrain,2005,18.7
Bahrain,2004,18.6
Bahrain,2003,18.2
Bahrain,2002,18
Bahrain,2001,18.4
Bahrain,2000,18.3
Bahrain,1999,18.2
Bahrain,1998,17.9
Bahrain,1997,17.4
Bahrain,1996,17.1
Bahrain,1995,16.9
Bahrain,1994,16.7
Bahrain,1993,16.1
Bahrain,1992,16.9
Bahrain,1991,17.5
Bahrain,1990,16.8
Bahrain,1989,16.1
Bahrain,1988,15.8
Bahrain,1987,14.8
Bahrain,1986,14.4
Bahrain,1985,13.9
Bangladesh,2006,36.7
Bangladesh,2005,36.8
Bangladesh,2004,36.8
Bangladesh,2003,37.6
Bangladesh,2002,37.6
Bangladesh,2001,37.5
Bangladesh,2000,37.4
Bangladesh,1999,37.3
Bangladesh,1998,37.2
Bangladesh,1997,37.2
Bangladesh,1996,37.1
